Bilateral trade at 4-digit,Exporters,Value imported in 2023 (USD thousand),Trade balance 2023 (USD thousand),Share in Brazil's imports (%),"Growth in imported value between 2019-2023 (%, p.a.)","Growth in imported value between 2022-2023 (%, p.a.)",Ranking of partner countries in world exports,Share of partner countries in world exports (%),"Total exports growth in value of partner countries between 2019-2023 (%, p.a.)",Average distance between partner countries and all their importing markets (km),Concentration of all importing countries of partner countries,Average tariff (estimated) applied by Brazil (%)
,Gabon,,124,,,,164,0,14,"1,802",0.56,8
,Lithuania,,115,,,,23,0.7,8,"4,657",0.08,6.4
,Malta,,111,,,,100,0,8,"1,678",1,6.4
,Togo,,110,,,,120,0,11,894,0.16,6.5
,Norway,,108,,,,113,0,-5,"1,284",0.26,6.4
,"Hong Kong, China",,107,,,,74,0,-7,"6,417",0.55,6.4
,Oceania Nes,,106,,,,,,,,,
,Côte d'Ivoire,,96,,,,70,0.01,16,866,0.18,6.5
,Albania,,81,,,,136,0,1,"2,870",0.55,6.4
,Bahrain,,73,,,,122,0,-20,"1,525",0.19,6.4
,"Libya, State of",,67,,,,,,,,,6.4
,"Congo, Democratic Republic of the",,60,,,,,,,,,6.4
,Area Nes,,49,,,,,,,,,
,Mozambique,,46,,,,79,0,28,"1,184",0.39,6.4
,Cyprus,,45,,,,135,0,2,"1,001",0.94,6.4
,Guinea,,39,,,,139,0,30,"4,942",0.22,6.5
,Qatar,,38,,,,162,0,-41,"3,632",0.36,6.4
,Denmark,,35,,,,35,0.3,13,"1,598",0.14,6.4
,Saint Vincent and the Grenadines,,20,,,,169,0,-82,175,1,6.5
,Somalia,,17,,,,,,,,,6.7
,Afghanistan,,15,,,,105,0,-16,"1,013",0.77,6.5
,Haiti,,9,,,,127,0,-4,"4,222",0.41,6.5
,Cayman Islands,,9,,,,,,,,,6.7
,Saint Helena,,6,,,,170,0,,"2,703",1,6.7
,Gibraltar,,5,,,,,,,,,6.7
,Congo,,4,,,,,,,,,8
,Luxembourg,,3,,,,67,0.01,4,298,0.53,6.4
,Bermuda,,3,,,,171,0,5,"2,067",1,6.7
,Uganda,,2,,,,47,0.1,7,485,0.3,6.4
,Saint Kitts and Nevis,,2,,,,,,,,,6.5
,Grenada,,2,,,,,,,,,6.5
,Latvia,,1,,,,29,0.5,12,"4,301",0.1,6.4
,Sri Lanka,,1,,,,73,0,22,"5,912",0.12,6.4
,Cook Islands,,1,,,,,,,,,6.7
,Ukraine,,,,,,7,5.1,-3,"2,897",0.09,6.4
,Bulgaria,,,,,,16,1.4,13,"3,803",0.11,6.4
,Kazakhstan,,,,,,17,1.3,16,"1,912",0.21,6.4
,Hungary,,,,,,19,1.1,4,695,0.22,6.4
,Myanmar,,,,,,24,0.7,6,"3,405",0.17,6.4
,Czech Republic,,,,,,27,0.6,20,393,0.57,6.4
,Slovakia,,,,,,31,0.4,24,472,0.16,6.4
,Austria,,,,,,32,0.4,11,645,0.26,6.4
,Serbia,,,,,,38,0.3,-6,553,0.19,6.4
,Croatia,,,,,,39,0.2,16,543,0.42,6.4
,"Moldova, Republic of",,,,,,40,0.2,27,"1,012",0.41,6.4
,Sweden,,,,,,42,0.2,4,"1,256",0.12,6.4
,Finland,,,,,,49,0.08,-6,"1,805",0.34,6.4
,Slovenia,,,,,,54,0.05,6,511,0.44,6.4
,Lao People's Democratic Republic,,,,,,56,0.05,-11,"1,932",0.48,6.4
,Zambia,,,,,,59,0.04,22,"1,372",0.23,6.4
,United States Minor Outlying Islands,,,,,,66,0.02,28,,0.96,6.7
,Syrian Arab Republic,,,,,,68,0.01,-1,610,0.81,6.4
,"Macedonia, North",,,,,,71,0.01,23,333,0.34,6.4
,Bosnia and Herzegovina,,,,,,81,0,6,337,0.45,6.4
,New Zealand,,,,,,87,0,-20,"9,388",0.2,6.4
,Malawi,,,,,,88,0,35,975,0.65,6.4
,Zimbabwe,,,,,,91,0,-2,662,0.47,6.4
,Benin,,,,,,92,0,77,"1,284",0.69,6.5
,Ethiopia,,,,,,94,0,42,"7,780",0.22,6.4
,Kyrgyzstan,,,,,,96,0,71,574,0.64,6.4
,Fiji,,,,,,98,0,60,"1,615",0.17,6.8
,Burkina Faso,,,,,,104,0,-53,"1,131",0.22,6.5
,Uzbekistan,,,,,,106,0,-32,"3,035",0.2,6.4
,Belize,,,,,,107,0,28,843,0.71,6.5
,Georgia,,,,,,109,0,-9,700,0.33,6.4
,Belarus,,,,,,111,0,-38,890,0.2,6.4
,Cameroon,,,,,,112,0,-30,"1,086",0.87,8
,Botswana,,,,,,115,0,-4,618,0.75,6.4
,Papua New Guinea,,,,,,117,0,-12,"18,099",1,6.8
,Rwanda,,,,,,119,0,65,"1,068",0.8,6.4
,Azerbaijan,,,,,,123,0,9,"1,164",0.67,6.4
,Namibia,,,,,,125,0,18,"3,939",0.31,6.4
,"Micronesia, Federated States of",,,,,,126,0,,"13,158",1,6.8
,Brunei Darussalam,,,,,,129,0,-18,"1,270",0.86,6.4
,Niger,,,,,,130,0,-29,986,0.44,6.5
,Montenegro,,,,,,134,0,164,280,0.7,6.7
,British Indian Ocean Territory,,,,,,137,0,,,1,6.7
,Armenia,,,,,,140,0,96,"2,396",0.79,6.4
,Lesotho,,,,,,141,0,-7,369,1,6.4
,Eswatini,,,,,,142,0,-16,389,0.64,6.4
,Mauritius,,,,,,143,0,-30,"9,493",0.68,6.4
,South Sudan,,,,,,144,0,67,,1,
,Equatorial Guinea,,,,,,145,0,38,416,1,8
,Bhutan,,,,,,147,0,40,"3,667",0.4,6.4
,"Palestine, State of",,,,,,151,0,-8,"3,448",0.33,6.7
,"Macao, China",,,,,,152,0,,,1,6.4
,Samoa,,,,,,153,0,-5,635,0.87,6.7
,Tajikistan,,,,,,154,0,-16,425,1,6.4
,Free Zones,,,,,,155,0,-24,,1,
,Seychelles,,,,,,156,0,,"3,303",1,6.4
,Iceland,,,,,,157,0,-16,"1,712",0.63,6.4
,Turkmenistan,,,,,,158,0,-27,"9,829",1,6.4
,Sint Maarten (Dutch part),,,,,,160,0,39,,1,
,Madagascar,,,,,,161,0,-38,"8,568",1,6.4
,Burundi,,,,,,165,0,-1,"3,237",0.38,6.4
,Nauru,,,,,,167,0,,"12,015",1,6.7
