Bilateral trade at 4-digit,Exporters,Value imported in 2023 (USD thousand),Trade balance 2023 (USD thousand),Share in Mexico's imports (%),"Growth in imported value between 2019-2023 (%, p.a.)","Growth in imported value between 2022-2023 (%, p.a.)",Ranking of partner countries in world exports,Share of partner countries in world exports (%),"Total exports growth in value of partner countries between 2019-2023 (%, p.a.)",Average distance between partner countries and all their importing markets (km),Concentration of all importing countries of partner countries,Average tariff (estimated) applied by Mexico (%)
,Ghana,,,,,,95,0,136,"1,970",0.43,7.1
,Kyrgyzstan,,,,,,96,0,71,574,0.64,7
,Mali,,,,,,97,0,3,964,0.6,7.1
,Fiji,,,,,,98,0,60,"1,615",0.17,6.9
,Nicaragua,,,,,,99,0,10,359,0.44,0
,Malta,,,,,,100,0,8,"1,678",1,7
,Nigeria,,,,,,101,0,167,"3,108",0.24,7.1
,Saudi Arabia,,,,,,102,0,,"2,560",0.66,7
,Sudan,,,,,,103,0,-46,,0.49,
,Burkina Faso,,,,,,104,0,-53,"1,131",0.22,7.1
,Afghanistan,,,,,,105,0,-16,"1,013",0.77,7.1
,Uzbekistan,,,,,,106,0,-32,"3,035",0.2,7
,Jordan,,,,,,108,0,-6,"2,161",0.16,7
,Georgia,,,,,,109,0,-9,700,0.33,7
,Trinidad and Tobago,,,,,,110,0,-1,600,0.14,7.1
,Belarus,,,,,,111,0,-38,890,0.2,7
,Cameroon,,,,,,112,0,-30,"1,086",0.87,6.4
,Norway,,,,,,113,0,-5,"1,284",0.26,5.3
,Israel,,,,,,114,0,-18,"5,787",0.33,7
,Botswana,,,,,,115,0,-4,618,0.75,7
,Jamaica,,,,,,116,0,31,"2,241",0.54,7.1
,Papua New Guinea,,,,,,117,0,-12,"18,099",1,6.9
,Rwanda,,,,,,119,0,65,"1,068",0.8,7
,Togo,,,,,,120,0,11,894,0.16,7.1
,Iraq,,,,,,121,0,2,"2,853",0.32,7.3
,Bahrain,,,,,,122,0,-20,"1,525",0.19,7
,Azerbaijan,,,,,,123,0,9,"1,164",0.67,7
,Namibia,,,,,,125,0,18,"3,939",0.31,7
,"Micronesia, Federated States of",,,,,,126,0,,"13,158",1,6.9
,Haiti,,,,,,127,0,-4,"4,222",0.41,7.1
,Morocco,,,,,,128,0,-4,969,0.82,7
,Brunei Darussalam,,,,,,129,0,-18,"1,270",0.86,7
,Niger,,,,,,130,0,-29,986,0.44,7.1
,Nepal,,,,,,131,0,-1,"3,925",0.41,7
,Curaçao,,,,,,132,0,229,,0.94,
,Angola,,,,,,133,0,21,"1,076",0.49,7
,Montenegro,,,,,,134,0,164,280,0.7,7.3
,Cyprus,,,,,,135,0,2,"1,001",0.94,7
,Albania,,,,,,136,0,1,"2,870",0.55,7
,British Indian Ocean Territory,,,,,,137,0,,,1,7.3
,Yemen,,,,,,138,0,,351,1,7.1
,Guinea,,,,,,139,0,30,"4,942",0.22,7.1
,Armenia,,,,,,140,0,96,"2,396",0.79,7
,Lesotho,,,,,,141,0,-7,369,1,7
,Eswatini,,,,,,142,0,-16,389,0.64,7
,Mauritius,,,,,,143,0,-30,"9,493",0.68,7
,South Sudan,,,,,,144,0,67,,1,
,Equatorial Guinea,,,,,,145,0,38,416,1,6.4
,Kuwait,,,,,,146,0,46,"4,624",0.77,7
,Bhutan,,,,,,147,0,40,"3,667",0.4,7
,Barbados,,,,,,148,0,11,228,0.47,7.1
,Saint Lucia,,,,,,149,0,-13,160,1,7.1
,"Palestine, State of",,,,,,151,0,-8,"3,448",0.33,7.3
,"Macao, China",,,,,,152,0,,,1,7
,Samoa,,,,,,153,0,-5,635,0.87,7.3
,Tajikistan,,,,,,154,0,-16,425,1,7
,Free Zones,,,,,,155,0,-24,,1,
,Seychelles,,,,,,156,0,,"3,303",1,7
,Iceland,,,,,,157,0,-16,"1,712",0.63,5.3
,Turkmenistan,,,,,,158,0,-27,"9,829",1,7
,Aruba,,,,,,159,0,163,,,7.3
,Sint Maarten (Dutch part),,,,,,160,0,39,,1,
,Madagascar,,,,,,161,0,-38,"8,568",1,7
,Qatar,,,,,,162,0,-41,"3,632",0.36,7
,Sierra Leone,,,,,,163,0,,"1,401",0.68,7.1
,Gabon,,,,,,164,0,14,"1,802",0.56,6.4
,Burundi,,,,,,165,0,-1,"3,237",0.38,7
,Tunisia,,,,,,166,0,-52,"7,550",1,7
,Nauru,,,,,,167,0,,"12,015",1,7.3
,Bahamas,,,,,,168,0,-44,"2,022",,7
,Saint Vincent and the Grenadines,,,,,,169,0,-82,175,1,7.1
,Saint Helena,,,,,,170,0,,"2,703",1,7.3
,Bermuda,,,,,,171,0,5,"2,067",1,7.3
