Bilateral trade at 4-digit,Exporters,Value imported in 2023 (USD thousand),Trade balance 2023 (USD thousand),Share in United States of America's imports (%),"Growth in imported value between 2019-2023 (%, p.a.)","Growth in imported value between 2022-2023 (%, p.a.)",Ranking of partner countries in world exports,Share of partner countries in world exports (%),"Total exports growth in value of partner countries between 2019-2023 (%, p.a.)",Average distance between partner countries and all their importing markets (km),Concentration of all importing countries of partner countries,Average tariff (estimated) applied by United States of America (%)
,Suriname,3,6,0,,,188,0,66,"15,134",0.56,1.5
,Burkina Faso,2,17,0,-73,-72,54,0.1,2,"4,652",0.17,1.4
,Saudi Arabia,,"355,311",,,,139,0,11,"1,991",0.39,1.5
,"Venezuela, Bolivarian Republic of",,"66,776",,,,96,0.01,5,"7,977",0.27,1.5
,Trinidad and Tobago,,"27,031",,,,125,0,3,"1,447",0.2,1.5
,Qatar,,"20,855",,,,187,0,-66,"3,862",0.56,1.5
,"Libya, State of",,"8,979",,,,141,0,189,"1,718",0.52,1.5
,Guyana,,"7,045",,,,177,0,11,"3,325",0.41,1.5
,Barbados,,"5,454",,,,182,0,-6,182,0.51,1.5
,Cambodia,,"5,327",,,,93,0.01,36,500,0.35,1.3
,Oman,,"5,083",,,,176,0,,"2,239",0.54,0
,Kuwait,,"4,946",,,,166,0,4,761,0.93,1.5
,Singapore,,"4,938",,,,73,0.04,-6,"4,712",0.2,0
,Bermuda,,781,,,,,,,,,1.6
,Bahamas,,736,,,,158,0,-12,"2,022",,1.3
,French Polynesia,,682,,,,,,,,,1.6
,Bahrain,,672,,,,127,0,19,307,0.88,0
,Aruba,,415,,,,,,,,,1.5
,Chad,,333,,,,51,0.1,41,"3,542",0.85,7.9
,Curaçao,,282,,,,179,0,-8,,0.93,
,"Macao, China",,254,,,,144,0,61,,1,1.5
,Luxembourg,,222,,,,90,0.02,12,436,0.27,1.5
,British Virgin Islands,,145,,,,167,0,,"6,835",1,1.5
,Saint Kitts and Nevis,,145,,,,,,,,,1.5
,Antigua and Barbuda,,107,,,,,,,,,1.5
,Liberia,,77,,,,,,,,,1.5
,Mauritania,,74,,,,,,,,,1.4
,Brunei Darussalam,,64,,,,156,0,2,"3,915",0.88,1.5
,Turks and Caicos Islands,,60,,,,,,,,,1.6
,Dominica,,58,,,,184,0,32,"2,464",,1.5
,Montenegro,,51,,,,150,0,7,"1,009",0.44,1.5
,Turkmenistan,,27,,,,118,0,27,"3,605",0.5,1.5
,Cuba,,25,,,,185,0,-55,"8,847",0.38,6.2
,Djibouti,,23,,,,116,0,,"2,025",0.62,1.3
,Tajikistan,,22,,,,136,0,30,"2,132",0.24,1.5
,Cabo Verde,,22,,,,,,,,,1.4
,Mauritius,,15,,,,161,0,-5,"5,894",0.65,1.3
,Mongolia,,10,,,,80,0.03,35,"1,636",1,1.4
,Sierra Leone,,9,,,,180,0,-57,"5,830",0.62,1.4
,New Caledonia,,6,,,,168,0,1,"8,052",0.46,1.6
,Malawi,,5,,,,62,0.07,20,"1,466",0.4,1.3
,Montserrat,,5,,,,,,,,,1.5
,Bhutan,,3,,,,148,0,-21,"3,088",0.31,1.3
,Anguilla,,3,,,,190,0,-16,881,1,1.5
,Palau,,3,,,,,,,,,9
,United States Minor Outlying Islands,,,,,,63,0.07,322,,1,1.6
,"Iran, Islamic Republic of",,,,,,104,0,5,"3,329",0.13,1.5
,Somalia,,,,,,105,0,-25,"4,002",0.9,1.5
,"Congo, Democratic Republic of the",,,,,,108,0,-4,"6,298",0.34,1.3
,Belarus,,,,,,119,0,0,"1,022",0.36,1.5
,Botswana,,,,,,121,0,170,721,0.91,1.3
,Gambia,,,,,,131,0,81,"11,401",0.63,1.4
,Congo,,,,,,146,0,51,"9,124",0.31,7.9
,Timor-Leste,,,,,,147,0,-29,"2,737",0.59,1.5
,Guinea-Bissau,,,,,,149,0,-20,"5,352",0.91,1.4
,"Korea, Democratic People's Republic of",,,,,,153,0,89,"9,231",0.67,6.5
,Eswatini,,,,,,154,0,30,428,1,1.3
,Free Zones,,,,,,160,0,44,,0.48,
,Norfolk Island,,,,,,162,0,6,"14,710",0.67,1.5
,Central African Republic,,,,,,163,0,30,"4,003",0.94,7.9
,Faroe Islands,,,,,,164,0,29,"1,289",0.84,1.6
,Kiribati,,,,,,165,0,-5,"2,190",1,8.3
,South Sudan,,,,,,169,0,-24,,0.77,
,Angola,,,,,,172,0,19,"5,786",0.83,1.3
,Sao Tome and Principe,,,,,,178,0,-10,"2,020",0.55,1.5
,Marshall Islands,,,,,,181,0,,"17,553",1,1.6
,Greenland,,,,,,183,0,51,"3,388",1,1.6
,Equatorial Guinea,,,,,,186,0,,416,1,8.5
,Burundi,,,,,,189,0,-17,"6,432",0.5,1.3
,Eritrea,,,,,,191,0,,"5,348",0.5,1.4
,"Micronesia, Federated States of",,,,,,192,0,,"12,556",1,9
